film_id,title,release_year,release_season,genre,mpaa_rating,studio,is_franchise,sequel_number,production_budget,marketing_budget,total_cost,domestic_gross,international_gross,total_gross,streaming_revenue,ancillary_revenue,total_revenue,director_avg_roi,lead_actor_avg_gross,trailer_views_24hr,social_buzz_score,pre_release_tracking,rotten_tomatoes_score,roi
1011,Film_0011,2005,Summer,Horror,R,Disney,0,0,4624237,2345000,6969236,21487439,20228418,41715857,16785490,3444993,61946340,1.66,294658148,18175920,51.6,90.4,33.2,7.8885
1012,Film_0012,2004,Holiday,Thriller,PG-13,Paramount,1,4,28885780,20672522,49558302,76462979,49991094,126454073,51378433,7938466,185770973,3.24,108099691,12649698,38.6,38.1,18.2,2.7485
1013,Film_0013,2015,Fall,Horror,R,Paramount,1,3,31728178,19967803,51695980,92443897,47549865,139993762,42719304,13192544,195905609,2.03,288113830,25840861,69.1,72.4,45.5,2.7896
1014,Film_0014,2012,Holiday,Horror,PG-13,Warner Bros,0,0,34722761,23039595,57762356,124698728,134504144,259202872,75388987,14060976,348652835,2.7,136927069,5743762,69.9,33.4,47.3,5.036
1015,Film_0015,2004,Holiday,Romance,PG-13,Sony,1,2,24730970,12388309,37119279,41858694,31641698,73500391,18621417,8707049,100828857,2.77,112026367,25030688,86.3,59.0,55.8,1.7163
1016,Film_0016,2012,Spring,Drama,R,Lionsgate,1,3,20766699,10136021,30902719,21981033,16432749,38413782,14821567,5388322,58623672,3.45,47741365,8731691,77.8,66.0,73.1,0.897
1017,Film_0017,2016,Summer,Sci-Fi,PG-13,Warner Bros,0,0,176211220,104907324,281118544,311291485,772663030,1083954514,287587930,144953227,1516495672,1.64,302730861,11764870,62.3,49.4,90.6,4.3945
1018,Film_0018,2017,Fall,Romance,G,Sony,0,0,3461252,2405661,5866914,1260573,1490957,2751530,919430,172623,3843583,2.91,290180366,29848355,71.0,59.6,22.3,-0.3449
1019,Film_0019,2007,Spring,Romance,PG-13,Sony,1,5,5588312,3409406,8997718,7468621,4623680,12092301,4478220,757306,17327826,3.87,109109802,12160201,41.4,40.6,14.8,0.9258
1020,Film_0020,2012,Spring,Horror,PG,Netflix,1,5,9866935,4075619,13942554,27034856,30516044,57550900,25174018,7558934,90283852,3.06,304764026,9918124,66.3,49.8,11.6,5.4754
1021,Film_0021,2018,Fall,Animation,R,Paramount,0,0,57348611,42863534,100212145,45930798,95658790,141589588,44226984,20165958,205982530,2.21,368779536,18973825,58.2,70.4,22.8,1.0555
1022,Film_0022,2002,Holiday,Drama,G,A24,0,0,15855471,6752445,22607917,17318917,9586644,26905561,8070442,2584736,37560739,2.71,61051004,20846985,30.4,49.6,68.6,0.6614
1023,Film_0023,2023,Spring,Comedy,R,Universal,0,0,76025425,59476955,135502380,66240119,78872797,145112916,55263647,14496361,214872924,3.09,108401923,4109684,38.9,88.5,74.7,0.5858
1024,Film_0024,2007,Holiday,Romance,PG,A24,0,0,10323158,4233081,14556239,18627878,12852419,31480297,11768840,2575913,45825050,2.64,305099102,528885,42.8,70.8,80.0,2.1481
1025,Film_0025,2001,Summer,Sci-Fi,PG,Universal,1,3,248239024,168251491,416490514,396270650,644263882,1040534531,329247972,145078100,1514860604,0.56,124312536,5090723,92.1,58.5,31.7,2.6372
1026,Film_0026,2007,Holiday,Animation,PG,Disney,0,0,213752335,92529715,306282049,303067303,579067917,882135220,384276069,100995918,1367407207,1.18,257372310,20089969,38.0,32.5,37.2,3.4645
1027,Film_0027,2012,Summer,Animation,PG-13,Paramount,0,0,298033329,227778121,525811450,1136212296,2213378143,3349590439,1403386164,264031995,5017008598,3.34,50842405,5089764,42.6,62.5,53.0,8.5415
1028,Film_0028,2012,Holiday,Comedy,PG-13,Sony,1,4,26042722,15255131,41297853,47802628,44554591,92357218,27226586,7377336,126961140,1.45,191836942,3629985,48.8,79.7,15.6,2.0743
1029,Film_0029,2000,Spring,Romance,R,Lionsgate,0,0,35060130,15952692,51012822,11668665,7108395,18777060,5592344,2612265,26981669,3.06,300854740,18656555,71.8,47.3,64.4,-0.4711
1030,Film_0030,2005,Spring,Sci-Fi,R,Universal,0,0,145961788,78283143,224244931,145897152,307203298,453100450,159699816,23272781,636073047,1.8,280875298,19395952,29.2,82.4,97.6,1.8365
1031,Film_0031,2023,Summer,Drama,G,A24,1,3,31664762,14753559,46418321,54897046,57443678,112340724,45465911,9242570,167049205,2.33,329727398,10732137,94.4,46.4,42.1,2.5988
1032,Film_0032,2018,Fall,Action,G,Sony,1,1,258999516,121272059,380271575,366290374,883882630,1250173004,323554870,131812826,1705540700,0.74,353431808,25322625,87.5,83.5,77.0,3.4851
1033,Film_0033,2015,Summer,Sci-Fi,R,Universal,0,0,108948023,84897020,193845044,152303731,269703137,422006868,164020156,27355222,613382247,1.13,313809730,18097189,65.0,35.5,54.5,2.1643
1034,Film_0034,2007,Summer,Comedy,PG-13,Universal,0,0,28264273,16339532,44603805,25563737,12838074,38401811,14579139,2273766,55254717,3.85,275203342,19927719,72.6,86.3,21.4,0.2388
1035,Film_0035,2000,Holiday,Animation,PG,Netflix,0,0,151327546,108278023,259605568,330920388,617487577,948407965,281009505,124741855,1354159325,3.62,32054547,1618844,21.3,62.4,61.8,4.2162
1036,Film_0036,2015,Holiday,Drama,R,Universal,0,0,16489972,10814820,27304792,19582224,21790785,41373009,15981177,5769070,63123256,2.78,223287336,11766354,46.4,49.3,36.7,1.3118
1037,Film_0037,2008,Summer,Sci-Fi,G,Lionsgate,0,0,208135133,139569290,347704423,285356623,626141276,911497899,399269475,120646447,1431413822,2.11,34325135,12684842,82.1,47.2,13.1,3.1168
1038,Film_0038,2012,Spring,Action,PG-13,Paramount,0,0,143212159,64828904,208041064,251662954,524104975,775767929,201200974,108513478,1085482382,2.87,327065771,27094750,26.0,58.1,66.5,4.2176
1039,Film_0039,2010,Holiday,Action,R,Lionsgate,0,0,178153801,87949860,266103662,247237170,545128968,792366138,248747827,83445027,1124558992,2.67,141875319,6201048,42.0,94.9,86.4,3.226
1040,Film_0040,2012,Fall,Horror,R,Warner Bros,0,0,21766767,15556711,37323477,64915283,64956213,129871497,43849207,17042493,190763197,2.49,233723162,4394142,65.7,44.3,40.7,4.1111
1041,Film_0041,2020,Holiday,Horror,PG-13,Sony,0,0,29135461,22967672,52103133,45828485,31958188,77786673,33436762,6876674,118100109,0.71,126189217,28982187,40.0,36.7,44.7,1.2667
1042,Film_0042,2009,Holiday,Thriller,R,Paramount,0,0,93665523,47307670,140973193,90326360,68166300,158492660,70125440,18484490,247102590,2.71,317350055,23739496,92.9,68.0,89.3,0.7528
1043,Film_0043,2003,Fall,Comedy,PG-13,Netflix,0,0,80432375,40910118,121342493,44316805,28075059,72391864,24528032,10777958,107697855,3.19,356870960,7542049,30.2,61.8,82.4,-0.1124
1044,Film_0044,2005,Summer,Romance,PG,Paramount,0,0,32930665,19401393,52332058,30311786,22519949,52831736,21132995,3834146,77798876,3.98,171484148,22915879,82.2,64.1,73.6,0.4866
1045,Film_0045,2006,Fall,Sci-Fi,PG-13,Paramount,0,0,198229600,157302349,355531949,167802009,290390568,458192578,163268771,40774546,662235895,0.54,347910510,27123737,59.6,73.4,32.1,0.8627
1046,Film_0046,2004,Summer,Sci-Fi,PG-13,A24,1,5,194853725,98904551,293758276,421963620,992165463,1414129083,505631168,138591350,2058351601,3.06,121488503,27633578,78.5,47.4,91.0,6.007
1047,Film_0047,2010,Summer,Romance,PG-13,Paramount,1,2,6997855,3938314,10936169,12352531,11919466,24271996,7418005,1548591,33238592,2.5,223171151,15780763,44.2,89.2,23.7,2.0393
1048,Film_0048,2012,Summer,Thriller,R,Netflix,1,5,51555953,39006822,90562775,86936856,55593700,142530555,41817218,8281576,192629349,2.02,346329343,16338516,60.1,58.3,65.8,1.127
1049,Film_0049,2018,Fall,Animation,R,Lionsgate,1,3,213030811,85461233,298492044,189539205,444665133,634204338,195081932,84331601,913617872,0.95,143834910,6726659,86.8,38.4,12.6,2.0608
1050,Film_0050,2022,Summer,Animation,PG-13,Paramount,0,0,128037014,53251412,181288426,255739526,550021934,805761461,291093899,118994399,1215849758,1.93,382536061,10135337,56.4,78.2,67.3,5.7067
1051,Film_0051,2009,Spring,Thriller,R,Disney,0,0,94361796,60545234,154907031,60925292,54454334,115379625,29517689,10438684,155335998,1.74,66314211,3281652,48.1,71.8,34.7,0.0028
1052,Film_0052,2009,Fall,Animation,G,Sony,0,0,264496563,201798200,466294763,591031340,1287520272,1878551612,810500696,110393055,2799445363,1.56,26944526,2591219,61.8,50.5,50.0,5.0036
1053,Film_0053,2010,Spring,Horror,G,Paramount,1,4,19694823,9759625,29454448,31927917,36981897,68909814,19381350,3898998,92190162,3.06,363571434,26653991,76.0,70.4,40.7,2.1299
1054,Film_0054,2020,Summer,Sci-Fi,R,Sony,1,1,197103158,115868414,312971572,342169143,799451474,1141620617,335656708,158835755,1636113080,2.95,46086493,4717635,54.6,44.3,25.4,4.2277
1055,Film_0055,2006,Holiday,Thriller,R,Disney,0,0,91352200,53001278,144353478,112071070,97045937,209117008,73955325,20154995,303227328,2.56,396917894,29883132,93.2,58.9,65.4,1.1006
1056,Film_0056,2017,Summer,Sci-Fi,PG-13,Disney,0,0,149164944,87886275,237051219,232537594,317553882,550091476,215648485,45109004,810848965,3.79,381530808,12272777,43.0,88.5,88.5,2.4206
1057,Film_0057,2003,Spring,Romance,PG,Sony,0,0,36032203,23385184,59417387,46301190,44413885,90715074,24415582,8857976,123988632,1.72,72067946,28668651,57.1,38.7,95.4,1.0867
1058,Film_0058,2001,Spring,Action,R,Universal,0,0,108668510,63885946,172554455,233672111,441885789,675557900,211813708,55281180,942652787,1.35,224282158,29215260,79.0,55.1,27.1,4.4629
1059,Film_0059,2013,Fall,Horror,G,Warner Bros,1,2,13383726,7749007,21132734,31325721,30728258,62053980,27535518,6137361,95726858,2.8,90269713,9336621,73.8,83.4,73.8,3.5298
1060,Film_0060,2012,Holiday,Drama,PG-13,A24,1,4,38159104,22503010,60662113,72106865,69270023,141376888,42762068,19220985,203359942,1.2,182698966,19563535,87.4,93.0,69.1,2.3523
1061,Film_0061,2011,Fall,Horror,R,Universal,0,0,33182830,21115793,54298623,17518707,10194279,27712986,8663358,3027093,39403437,1.6,43341549,1431253,97.8,59.5,40.6,-0.2743
1062,Film_0062,2006,Spring,Thriller,G,Universal,1,2,45895243,28216533,74111775,60698555,64328483,125027038,52173745,14936402,192137185,1.29,105091343,14744820,53.3,63.0,11.7,1.5925
1063,Film_0063,2001,Summer,Drama,G,Lionsgate,1,5,5748715,4263559,10012274,8637247,5063697,13700944,3562833,1184680,18448458,0.74,158043663,2344053,28.7,67.2,71.4,0.8426
1064,Film_0064,2012,Holiday,Action,PG,A24,0,0,86439142,36287043,122726185,96627269,167422301,264049570,90548574,32702694,387300838,3.4,186686050,15462324,22.4,90.6,94.1,2.1558
1065,Film_0065,2013,Summer,Thriller,PG-13,A24,0,0,11206236,8217834,19424070,19618721,15524328,35143049,11453940,4099848,50696837,1.39,391448578,17820171,76.7,85.8,66.3,1.61
1066,Film_0066,2016,Summer,Comedy,PG-13,Universal,0,0,35447112,26144721,61591833,68676858,59041187,127718045,40016280,7912925,175647249,2.16,326988945,14468689,88.2,41.1,48.7,1.8518
1067,Film_0067,2008,Holiday,Sci-Fi,PG,Paramount,0,0,287145839,147582397,434728235,151327754,236850113,388177866,119224918,41637621,549040406,0.65,300215779,14158790,37.2,58.4,56.7,0.263
1068,Film_0068,2016,Fall,Action,PG,Lionsgate,0,0,113131946,66198115,179330061,71529843,105173423,176703266,47405037,13371905,237480208,2.95,224075700,12438835,32.4,60.2,27.8,0.3243
1069,Film_0069,2007,Summer,Sci-Fi,PG-13,Lionsgate,0,0,139812687,80450373,220263060,314828413,394977764,709806177,222144608,92565516,1024516302,1.66,339199149,3807735,24.9,81.3,76.8,3.6513
1070,Film_0070,2001,Spring,Animation,PG-13,Disney,0,0,144839647,70595414,215435061,318309020,580289476,898598496,232386989,83204623,1214190108,3.11,148942678,22068342,84.2,69.2,76.4,4.636
1071,Film_0071,2023,Summer,Comedy,R,Netflix,0,0,80841394,45167602,126008996,149385262,151680995,301066257,122290938,44999897,468357091,1.94,289381663,10686886,44.3,72.5,23.0,2.7169
1072,Film_0072,2012,Holiday,Comedy,R,A24,1,2,97735119,40829345,138564464,120801651,103771993,224573644,74029704,13305998,311909347,1.19,397637911,28974248,51.3,94.9,88.1,1.251
1073,Film_0073,2002,Holiday,Action,PG,Universal,0,0,183377981,93729773,277107754,432804137,996447668,1429251805,484203022,182993949,2096448776,2.3,139558985,26038969,59.2,34.9,34.0,6.5655
1074,Film_0074,2015,Holiday,Comedy,R,Disney,0,0,48599819,35316170,83915989,82102188,64199238,146301426,62722189,17171424,226195038,0.96,276126663,12342981,85.5,44.5,97.4,1.6955
1075,Film_0075,2005,Fall,Drama,G,Sony,0,0,1012968,520488,1533456,749145,883365,1632510,622984,206920,2462414,2.04,340839648,2553413,70.8,56.5,44.1,0.6058
1076,Film_0076,2018,Summer,Comedy,R,Warner Bros,1,5,34132512,24823984,58956496,41601595,47951077,89552672,22532511,7231645,119316828,1.61,368006882,23963157,68.0,52.6,25.8,1.0238
1077,Film_0077,2006,Fall,Sci-Fi,R,Netflix,0,0,266054044,162995293,429049337,221183090,413032586,634215676,278189171,62917651,975322498,3.69,292814423,13877212,33.7,31.4,41.3,1.2732
1078,Film_0078,2009,Fall,Sci-Fi,G,Netflix,0,0,189535062,142519956,332055018,257591758,640368751,897960509,267079400,116421345,1281461254,0.71,127771011,26351435,60.0,36.0,49.2,2.8592
1079,Film_0079,2008,Holiday,Thriller,PG,Netflix,1,2,14185053,8935332,23120385,19537768,11569436,31107204,8446316,2278731,41832251,2.93,143987218,15520117,75.8,74.3,16.2,0.8093
1080,Film_0080,2001,Holiday,Sci-Fi,G,Lionsgate,1,4,58546941,24113570,82660512,72797072,176555447,249352519,100645069,18103821,368101409,1.14,27888052,2157387,95.9,87.2,61.5,3.4532
1081,Film_0081,2014,Fall,Thriller,R,Sony,1,3,60579356,40598351,101177707,70110325,43167740,113278065,39658137,11906102,164842303,1.62,309136672,3291241,35.7,63.4,63.2,0.6292
1082,Film_0082,2004,Summer,Sci-Fi,PG,Netflix,0,0,80742702,33745720,114488422,171019983,304467381,475487364,160122326,48669155,684278845,1.95,36241050,28302998,20.7,65.0,75.8,4.9768
1083,Film_0083,2021,Spring,Drama,R,Sony,0,0,19899462,11546440,31445902,16551118,13961455,30512573,9150739,2386884,42050196,3.68,348567895,8537821,25.9,46.6,12.6,0.3372
1084,Film_0084,2003,Fall,Romance,G,Paramount,1,5,30415888,23474091,53889979,14653019,11496608,26149627,9400642,2086938,37637207,1.35,65091034,18498201,49.3,79.9,58.2,-0.3016
1085,Film_0085,2019,Summer,Thriller,G,Netflix,1,4,17778215,8286098,26064313,34779534,39378555,74158090,22609090,5768351,102535531,0.82,85313075,12467877,84.0,78.9,14.7,2.9339
1086,Film_0086,2003,Holiday,Horror,R,Warner Bros,1,3,12596847,7003204,19600051,22735726,20978157,43713883,18810810,5558273,68082966,1.62,201080059,26011568,20.6,68.2,72.4,2.4736
1087,Film_0087,2017,Holiday,Animation,PG-13,Sony,1,2,95002609,65736497,160739107,270120164,455645316,725765480,212678966,83600988,1022045435,0.87,300394558,27694418,55.6,43.8,15.0,5.3584
1088,Film_0088,2003,Summer,Action,PG-13,Sony,0,0,72138896,54313622,126452518,108875934,182947119,291823053,124570807,38883005,455276865,0.95,72820838,27509265,45.7,36.3,91.1,2.6004
1089,Film_0089,2016,Spring,Sci-Fi,G,Warner Bros,1,5,75827239,50681198,126508437,57688056,72624363,130312419,47157600,19227246,196697265,2.51,187227009,3104325,24.1,34.2,72.5,0.5548
1090,Film_0090,2011,Holiday,Comedy,G,Netflix,0,0,89392205,44988353,134380558,108748043,114180027,222928070,92670669,21716857,337315596,0.71,203483484,3261623,55.1,68.5,55.2,1.5102
1091,Film_0091,2021,Holiday,Romance,PG-13,Warner Bros,0,0,11350109,7602793,18952902,17420415,11792905,29213320,11468250,1655501,42337070,0.61,100668544,18954066,39.9,83.6,49.3,1.2338
1092,Film_0092,2016,Holiday,Sci-Fi,PG-13,Sony,0,0,149344747,77463785,226808532,283758122,480400940,764159062,297516942,41882971,1103558975,3.0,63912183,4283799,47.4,85.8,21.6,3.8656
1093,Film_0093,2009,Summer,Comedy,R,Warner Bros,0,0,80894171,55604363,136498535,127111330,143100619,270211950,85081410,21499820,376793180,1.77,337839951,16440295,75.0,60.1,35.9,1.7604
1094,Film_0094,2021,Fall,Animation,R,Sony,0,0,221491934,173121031,394612965,141620100,325021409,466641509,138489581,66848477,671979567,0.94,210936947,6209716,60.7,81.0,87.3,0.7029
1095,Film_0095,2000,Holiday,Animation,PG-13,Sony,0,0,54344948,37419615,91764562,206323464,347699088,554022553,161872783,56688311,772583647,1.39,25464870,10745367,29.7,91.5,90.5,7.4192
1096,Film_0096,2021,Fall,Animation,R,Paramount,1,2,130782664,97452990,228235654,158273158,319962687,478235845,201546917,36909598,716692360,2.75,325132894,21164148,95.0,47.9,10.1,2.1401
1097,Film_0097,2023,Spring,Comedy,R,Universal,0,0,23046857,9238137,32284994,25527489,18797281,44324770,18354239,3985536,66664545,1.46,392701646,932184,69.6,55.9,62.9,1.0649
1098,Film_0098,2017,Holiday,Sci-Fi,PG,Sony,1,1,195028057,133989902,329017959,301335190,402216834,703552025,237881286,77291881,1018725192,2.23,250251954,10098333,79.7,90.5,74.0,2.0963
1099,Film_0099,2017,Holiday,Animation,R,Netflix,0,0,113556145,83104364,196660509,196479469,248203665,444683134,122946403,51269727,618899264,0.93,211409187,19614022,26.2,52.0,65.1,2.147
1100,Film_0100,2013,Spring,Drama,G,Disney,0,0,26573223,11060400,37633623,31952560,21627161,53579722,17491124,3503683,74574528,2.56,353798028,29000768,23.7,89.4,17.3,0.9816
1101,Film_0101,2014,Holiday,Thriller,R,Lionsgate,0,0,37782887,28285746,66068633,61574170,53203275,114777445,42911693,16952992,174642130,1.61,381956380,8017201,21.5,93.8,29.4,1.6433
1102,Film_0102,2011,Fall,Comedy,R,A24,0,0,95233239,47871625,143104864,82550164,71436196,153986361,52490968,16088067,222565396,2.69,306724028,20185303,34.7,73.0,32.3,0.5553
1103,Film_0103,2003,Summer,Comedy,PG-13,Universal,0,0,97062056,64654670,161716726,125787016,114749602,240536617,97666972,15290632,353494221,3.33,189272113,1158139,52.3,83.1,84.0,1.1859
1104,Film_0104,2002,Fall,Sci-Fi,G,Universal,0,0,83178663,59900445,143079108,74429241,123200035,197629277,88839215,27542313,314010804,2.64,245044132,20247640,93.0,78.7,51.2,1.1947
1105,Film_0105,2019,Summer,Comedy,R,Universal,0,0,11983164,7969593,19952757,18651279,17465701,36116980,10409868,2075420,48602268,1.54,286355439,16360467,55.7,75.5,53.3,1.4359
1106,Film_0106,2011,Summer,Comedy,R,Paramount,1,1,74800724,32681477,107482201,108931035,100238014,209169048,71521207,29445468,310135723,1.4,93823957,7092863,42.6,50.0,93.2,1.8855
1107,Film_0107,2006,Fall,Animation,PG,Sony,0,0,233224730,148920662,382145391,714975449,871567039,1586542489,533390477,237436500,2357369465,1.65,189936392,8734955,63.8,33.7,66.7,5.1688
1108,Film_0108,2010,Fall,Sci-Fi,R,Paramount,1,5,90595474,56154106,146749580,56607850,83180423,139788272,43459965,16780629,200028866,1.08,335332081,23885903,28.7,52.3,90.0,0.3631
1109,Film_0109,2000,Fall,Animation,R,Sony,0,0,97087271,73798802,170886073,181621941,386347397,567969338,164494770,72157507,804621614,1.13,268795632,21382729,67.5,73.4,50.6,3.7085
1110,Film_0110,2005,Fall,Thriller,PG,Netflix,1,2,59059498,33173477,92232975,105422531,72294458,177716989,46764168,14880294,239361451,3.27,176257546,23492457,64.3,36.7,23.3,1.5952
1111,Film_0111,2014,Spring,Romance,PG-13,Paramount,1,1,38589069,20391716,58980784,53640001,47634265,101274266,43287038,14599464,159160768,1.85,272077763,21594509,81.8,30.8,92.8,1.6985
1112,Film_0112,2014,Holiday,Thriller,R,Paramount,1,2,30466855,21324980,51791834,83219140,53231433,136450572,45570362,14050506,196071441,2.03,64924517,13909459,97.0,39.1,50.8,2.7858
1113,Film_0113,2018,Summer,Romance,PG,Lionsgate,0,0,6218346,3513801,9732147,8096735,5714387,13811122,4825317,1702067,20338506,2.58,172569092,13359305,39.6,76.5,26.2,1.0898
1114,Film_0114,2010,Fall,Animation,G,Disney,0,0,113826631,74947833,188774464,150964533,212298786,363263319,157434112,51732610,572430041,2.56,321388844,20338697,59.8,93.2,36.9,2.0323
1115,Film_0115,2022,Fall,Thriller,PG-13,Paramount,0,0,81252999,53511603,134764602,123703221,143984619,267687839,108482664,39488774,415659277,0.74,103793339,28397625,90.9,93.9,14.5,2.0843
1116,Film_0116,2001,Fall,Sci-Fi,G,Lionsgate,1,1,294657822,222530191,517188013,288539978,573339117,861879095,237965036,114906096,1214750228,3.41,90665373,23331128,81.2,62.1,51.7,1.3488
1117,Film_0117,2013,Spring,Action,G,Warner Bros,1,1,143574192,91812388,235386580,274629129,484201925,758831054,275519410,60935462,1095285926,1.12,381311091,9188458,58.0,86.5,85.9,3.6531
1118,Film_0118,2001,Fall,Animation,PG,Disney,1,1,54378998,32674243,87053241,151423832,334130841,485554673,164336200,71208900,721099774,3.03,99761099,12839990,93.7,77.9,93.1,7.2834
1119,Film_0119,2003,Fall,Romance,R,Netflix,0,0,25138980,11452025,36591005,10584654,11114616,21699270,8884597,2447937,33031805,3.2,119149060,22881281,24.5,62.6,93.0,-0.0973
1120,Film_0120,2016,Fall,Drama,PG,Paramount,1,5,13616515,6076983,19693499,19842127,18115138,37957265,14987294,5430328,58374886,3.0,388454057,17119576,92.6,67.2,21.1,1.9642
1121,Film_0121,2002,Holiday,Romance,PG,A24,1,3,33537831,15485377,49023208,52455565,26464077,78919642,30627225,9281779,118828646,2.53,299189257,25706963,23.9,38.9,44.0,1.4239
1122,Film_0122,2012,Spring,Drama,PG,Universal,0,0,25542653,11972848,37515501,28165158,29313209,57478366,18284384,4639878,80402628,0.55,285846683,13722119,62.7,90.9,12.5,1.1432
1123,Film_0123,2008,Fall,Comedy,PG,Warner Bros,0,0,29448141,19292974,48741115,31632300,31371076,63003376,25893931,5481448,94378755,1.76,344112026,26437789,89.5,52.9,86.1,0.9363
1124,Film_0124,2006,Summer,Thriller,PG-13,Warner Bros,1,3,18780626,13078687,31859313,44417538,41338406,85755945,22337559,9008420,117101924,2.62,64012771,803446,40.5,59.0,41.9,2.6756
1125,Film_0125,2014,Summer,Drama,R,Netflix,1,3,2662695,1629560,4292256,2670452,2756700,5427152,1530050,700111,7657313,1.86,288263370,3871484,56.8,73.7,66.2,0.784
1126,Film_0126,2022,Summer,Romance,G,Lionsgate,1,2,15484934,11328888,26813822,18998935,16320950,35319884,11200806,2889105,49409796,3.52,211401672,1898558,45.3,51.7,73.6,0.8427
1127,Film_0127,2010,Spring,Comedy,G,Warner Bros,0,0,77435534,61677813,139113347,61926674,61484412,123411086,32748549,13325080,169484715,1.58,335077243,26651487,94.3,46.5,48.3,0.2183
1128,Film_0128,2019,Spring,Action,R,Disney,1,4,256709721,186885974,443595695,597492976,1182858462,1780351438,528762339,150550967,2459664745,1.53,213093853,3261158,84.2,71.0,37.3,4.5448
1129,Film_0129,2001,Summer,Sci-Fi,G,Paramount,0,0,216742879,146941474,363684354,244828376,567993954,812822330,338158634,106948675,1257929639,1.43,255691715,2217479,75.3,31.6,95.6,2.4589
1130,Film_0130,2014,Fall,Sci-Fi,R,Paramount,0,0,194296309,119103070,313399379,154768829,360492435,515261264,226534773,49811754,791607791,1.66,201542008,27464256,65.8,76.8,95.8,1.5259
1131,Film_0131,2013,Spring,Sci-Fi,G,A24,0,0,137143417,79480264,216623681,131609093,281860316,413469409,128556103,23845725,565871237,2.45,201700391,1545716,84.0,63.4,35.8,1.6122
1132,Film_0132,2019,Summer,Drama,PG,Netflix,1,4,5960791,2585534,8546325,9273466,9014548,18288014,5539497,1218078,25045589,2.97,311828592,4323873,50.6,69.4,52.7,1.9306
1133,Film_0133,2021,Summer,Action,G,Universal,1,3,201238481,112642736,313881217,220029881,423624779,643654660,196944507,36115763,876714930,2.82,258855232,20239153,54.9,71.1,96.6,1.7931
1134,Film_0134,2010,Fall,Drama,R,Lionsgate,0,0,10495641,8019235,18514876,3219880,1712386,4932266,1507023,492883,6932172,3.33,260640017,29760462,76.9,64.3,10.4,-0.6256
1135,Film_0135,2002,Holiday,Thriller,R,Universal,0,0,40579972,29347803,69927776,47322913,45080769,92403682,23764937,5602780,121771399,3.6,191107344,11823620,47.9,67.9,46.7,0.7414
1136,Film_0136,2016,Spring,Drama,R,Warner Bros,1,3,32616751,15865458,48482209,14132504,9309346,23441850,10206189,1439658,35087696,3.36,221821609,4193793,25.0,74.4,18.9,-0.2763
1137,Film_0137,2011,Fall,Action,R,Netflix,0,0,238106941,139683797,377790738,176244707,314774663,491019371,143740828,70758261,705518460,0.57,303372713,16674882,25.8,79.0,55.3,0.8675
1138,Film_0138,2023,Summer,Action,R,A24,1,1,72620424,52772484,125392907,60483074,147944453,208427526,69614964,28609910,306652400,3.08,333857549,6615762,29.0,77.3,12.2,1.4455
1139,Film_0139,2020,Summer,Thriller,PG-13,Universal,0,0,77869691,33246762,111116454,89463170,93174721,182637891,46013311,17388709,246039911,1.23,284693333,11009308,87.8,86.5,46.2,1.2143
